Title,Subtitle,Author,Author Gender,Country,Original Language,Translator,Publication Year,Pages,ISBN,Cover URL,Fiction / Non-fiction,Primary Genre,Secondary Genre,Subgenre,Audience,Series,Series Name,Series Number,Standalone,Themes,Mood / Reading Experience,,Search Tags,Female Author,Female Protagonist,Women Focus,Collections,Recommendation Occasion,Reading Level,Similar Books,One-line Recommendation,Short Description,Instagram Hook,Instagram Post Topic,Best Posting Month,Chapters.Aur.Chai Rating,Read Status,Date Read,Format Read,Owned,Wishlist,Awards,Bestseller,Adaptation,BookTok Popular,Bookstagram Popular
Rebecca,,Daphne du Maurier,Female,United Kingdom,English,,1938,448,,,Fiction,Gothic Fiction,Psychological Thriller,Classic Fiction,Adult,No,,,Yes,Identity; Obsession; Marriage,Atmospheric; Haunting,Mysterious Mansion,Classic Literature,Yes,Yes,Primary,Gothic Classics,Classic Recommendation,Intermediate,Jane Eyre; The Woman in the Window,"A haunting masterpiece of love, jealousy and identity.",Daphne du Maurier's gothic classic remains one of literature's greatest psychological novels.,You'll never forget Manderley.,Gothic Classics Everyone Should Read,October,,,,,Yes,Classic Bestseller,Multiple Film Adaptations,High,High,,
Keepers of the Kalachakra,,Ashwin Sanghi,Male,India,English,,2025,420,,,Fiction,Mythological Thriller,Historical Fiction,Adventure Thriller,Adult,No,,,Yes,Kalachakra; Ancient Knowledge; Conspiracy,Fast-paced; Cinematic,Secret Society,Indian Thriller,No,No,Secondary,Indian Historical Thrillers,Thriller Recommendation,Beginner,The Krishna Key; The Magicians of Mazda,Another action-packed mythology thriller packed with ancient secrets and conspiracies.,Ashwin Sanghi explores the mysteries surrounding the Kalachakra tradition.,What if history protected humanity's greatest secret?,Mythology Meets History,August,,,,,Yes,Bestseller,No,High,High,,
A Cut for a Cut,Detective Kate Young #2,Carol Wyer,Female,United Kingdom,English,,2021,384,,,Fiction,Crime Thriller,Mystery,Police Procedural,Adult,Yes,Detective Kate Young,2,No,Murder; Justice; Investigation,Dark; Fast-paced,Detective Series,Crime Thriller,Yes,Yes,Primary,Detective Kate Young Series,Crime Thriller Recommendation,Beginner,An Eye for an Eye; The Kind Worth Killing,Detective Kate Young returns for another gripping investigation.,Carol Wyer delivers another tense police procedural with emotional depth.,Justice always leaves scars.,Detective Series to Binge,October,,,,,Yes,Bestseller,No,Moderate,Moderate,,
"The Mahabharata: A Modern Rendering, Vol. 2",,Ramesh Menon,Male,India,English,,2005,700,,,Fiction,Mythological Fiction,Epic Literature,Mahabharata Retelling,Adult,Yes,The Mahabharata: A Modern Rendering,2,No,Dharma; War; Destiny,Epic; Philosophical,Epic Retelling,Mahabharata,No,No,Secondary,Mahabharata Retellings,Mythology Recommendation,Advanced,The Palace of Illusions; Jaya,A beautifully written modern retelling of India's greatest epic.,Ramesh Menon combines literary storytelling with faithful interpretation.,The Mahabharata never gets old.,Mahabharata Books for Modern Readers,August,,,,,Yes,Critically Acclaimed,No,Moderate,High,,
The Bhagavata Purana (Clothbound),,Ramesh Menon,Male,India,English,,2023,600,,,Non-fiction,Hindu Scriptures,Spirituality,Purana,Adult,No,,,Yes,Krishna; Bhakti; Devotion,Spiritual; Reflective,Sacred Text,Bhagavata Purana,No,No,Secondary,Hindu Scriptures,Spiritual Reading Recommendation,Advanced,Krishna's Other Song; Vishnu Purana,A beautiful modern edition of one of Hinduism's most important scriptures.,"The Bhagavata Purana celebrates Krishna's life, devotion and philosophy.",One of the most treasured books in Sanatan Dharma.,Essential Hindu Scriptures,January,,,,,Yes,Classic Scripture,No,Low,Moderate,,
Devi: The Devi Bhagavatam Retold,,Ramesh Menon,Male,India,English,,2022,500,,,Non-fiction,Hindu Scriptures,Mythology,Retelling,Adult,No,,,Yes,Goddess; Shakti; Devotion,Spiritual; Inspiring,Divine Feminine,Devi Bhagavatam,No,Yes,Primary,Goddess Literature,Mythology Recommendation,Intermediate,Mahagauri; Devi Bhagavatam Retold,A compelling retelling celebrating the power of the Divine Feminine.,Ramesh Menon makes the Devi Bhagavatam accessible to modern readers.,The stories of the Goddess deserve to be read by everyone.,Books on Shakti and Devi,March,,,,,Yes,Critically Acclaimed,No,Moderate,High,,
Blue God: A Life of Krishna,,Ramesh Menon,Male,India,English,,2012,560,,,Fiction,Mythological Fiction,Spiritual Fiction,Krishna Retelling,Adult,No,,,Yes,Krishna; Dharma; Devotion,Reflective; Epic,Life of Krishna,Krishna,No,No,Secondary,Krishna Literature,Spiritual Fiction Recommendation,Intermediate,Krishna; Bhagavata Purana,A lyrical retelling of Krishna's extraordinary life and teachings.,Ramesh Menon brings devotion and storytelling together beautifully.,"Krishna's story, like you've never experienced before.",Best Books on Krishna,August,,,,,Yes,Bestseller,No,Moderate,High,,
Krishna,,Ramesh Menon,Male,India,English,,2003,550,,,Fiction,Mythological Fiction,Epic Literature,Krishna Retelling,Adult,No,,,Yes,Krishna; Mahabharata; Dharma,Epic; Spiritual,Divine Hero,Indian Mythology,No,No,Secondary,Krishna Literature,Mythology Recommendation,Intermediate,Blue God; Bhagavata Purana,A vivid retelling of Krishna's remarkable journey from childhood to Kurukshetra.,"Ramesh Menon captures the wisdom, charm and divinity of Krishna.",Every Krishna devotee should own this book.,Krishna Book Recommendations,August,,,,,Yes,Bestseller,No,Moderate,High,,
Srimad Bhagavad Gita,A Modern Translation,Ramesh Menon,Male,India,English,,2018,320,,,Non-fiction,Hindu Scriptures,Philosophy,Bhagavad Gita Translation,Adult,No,,,Yes,Dharma; Karma; Yoga,Reflective; Spiritual,Modern Translation,Bhagavad Gita,No,No,Secondary,Bhagavad Gita,Spiritual Recommendation,Beginner,Bhagavad Gita (Eknath Easwaran); The Yoga Sutras of Patanjali,A clear and accessible modern English translation of the Bhagavad Gita.,Ideal for readers beginning their journey into Indian philosophy.,The Gita explained for today's readers.,Beginner-Friendly Bhagavad Gita Editions,January,,,,,Yes,Classic Scripture,No,Moderate,High,,
The Complete Mahabharata #9,Santi Parva & Mokshadharma Parva,Ramesh Menon,Male,India,English,,2011,700,,,Fiction,Mythological Fiction,Epic Literature,Mahabharata,Adult,Yes,The Complete Mahabharata,9,No,Dharma; Peace; Moksha,Philosophical; Epic,Sacred Epic,Mahabharata,No,No,Secondary,Mahabharata Collection,Spiritual Reading Recommendation,Advanced,Mahabharata Unravelled; Yuganta,"A profound exploration of peace, duty and liberation after the Kurukshetra war.",One of the most philosophical sections of the Mahabharata presented beautifully.,The war ended. The real wisdom begins.,Deep Dive into the Mahabharata,September,,,,,Yes,Classic Epic,No,Low,Moderate,,
The Woman in the Window,,A.J. Finn,Male,United States,English,,2018,448,,,Fiction,Psychological Thriller,Mystery,Domestic Suspense,Adult,No,,,Yes,Isolation; Secrets; Murder,Suspenseful; Dark,Unreliable Narrator,Thriller,No,Yes,Primary,Psychological Thrillers,Thriller Recommendation,Beginner,The Girl on the Train; Gone Girl,"A tense psychological thriller filled with paranoia, secrets and shocking twists.",An agoraphobic woman witnesses something she shouldn't have seen.,Can you trust what you think you saw?,Addictive Psychological Thrillers,October,,,,,Yes,International Bestseller,Film Adaptation,High,High,,
Siva: The Siva Purana Retold,,Ramesh Menon,Male,India,English,,2024,480,,,Non-fiction,Hindu Scriptures,Mythology,Purana Retelling,Adult,No,,,Yes,Shiva; Creation; Devotion,Spiritual; Reflective,Retelling,Shiva Purana,No,No,Secondary,Shiva Literature,Mythology Recommendation,Beginner,Shiva Purana; Shiva by Shubha Vilas,An engaging modern retelling of the Shiva Purana for contemporary readers.,Ramesh Menon simplifies timeless stories while preserving their spiritual depth.,Discover Shiva beyond the myths.,Beginner Books on Lord Shiva,July,,,,,Yes,Bestseller,No,Moderate,High,,
Panther's Ghosts: The Beginning,,Ajit,Male,India,English,,2023,320,,,Fiction,Action Thriller,Military Fiction,Spy Thriller,Adult,No,,,Yes,Espionage; Missions; Patriotism,Fast-paced; Action-packed,Secret Agent,Indian Thriller,No,No,Secondary,Indian Action Thrillers,Thriller Recommendation,Beginner,Bard of Blood; Before You Breathe,A fast-paced action thriller packed with espionage and danger.,Secret missions and national security drive this gripping adventure.,Every mission has a ghost story.,Indian Spy Thrillers,November,,,,,Yes,Popular Release,No,Low,Moderate,,
Abhimanyu,,Anuja Chandramouli,Female,India,English,,2020,320,,,Fiction,Mythological Fiction,Historical Fiction,Mahabharata Retelling,Adult,No,,,Yes,Abhimanyu; Courage; Sacrifice,Emotional; Epic,Warrior Hero,Mahabharata,Yes,No,Secondary,Mahabharata Retellings,Mythology Recommendation,Beginner,The Accursed God; Ajaya,The tragic hero of the Mahabharata finally gets the spotlight he deserves.,"Anuja Chandramouli reimagines Abhimanyu's courage, sacrifice and legacy.",The bravest warrior had the shortest life.,Unsung Heroes of the Mahabharata,August,,,,,Yes,Bestseller,No,Moderate,High,,
And the Mountains Echoed,,Khaled Hosseini,Male,Afghanistan,English,,2013,416,,,Fiction,Literary Fiction,Family Saga,Contemporary Fiction,Adult,No,,,Yes,Family; Sacrifice; Love,Emotional; Reflective,Interconnected Stories,Literary Fiction,No,Yes,Primary,Literary Fiction,Literary Recommendation,Intermediate,A Thousand Splendid Suns; The Kite Runner,"A moving family saga exploring love, sacrifice and human connection.",Khaled Hosseini tells interconnected stories spanning generations and continents.,Every chapter feels like its own masterpiece.,Books That Stay With You Forever,April,,,,,Yes,International Bestseller,No,High,Extremely High,,
The Tattoo Trail,,Gurucharan Singh Gandhi,Male,India,English,,2023,320,,,Fiction,Crime Thriller,Mystery,Detective Fiction,Adult,No,,,Yes,Murder; Investigation; Secrets,Suspenseful; Fast-paced,Crime Investigation,Indian Crime Fiction,No,No,Secondary,Indian Crime Fiction,Mystery Recommendation,Beginner,The Devotion of Suspect X; One Arranged Murder,A gripping crime novel that follows clues hidden beneath the surface.,Gurucharan Singh Gandhi crafts a suspenseful investigation with plenty of twists.,Every tattoo tells a different story.,Indian Mystery Books,October,,,,,Yes,Popular Release,No,Low,Moderate,,
GAZALA,,Suman Siwach,Female,India,English,,2023,300,,,Fiction,Historical Fiction,Women's Fiction,Partition Fiction,Adult,No,,,Yes,Identity; Survival; Partition,Emotional; Thought-provoking,Strong Female Lead,Indian Historical Fiction,Yes,Yes,Primary,Partition Fiction,Historical Fiction Recommendation,Intermediate,Pinjar; A Woman Is No Man,"A powerful story of identity, resilience and survival against a turbulent historical backdrop.",Suman Siwach explores the emotional cost of conflict through unforgettable characters.,Some stories deserve to be remembered forever.,Books on Partition and Women's Lives,August,,,,,Yes,Critically Acclaimed,No,Moderate,High,,
The Brahmin,,Ravi Shankar Etteth,Male,India,English,,2013,432,,,Fiction,Historical Thriller,Mythological Thriller,Political Thriller,Adult,No,,,Yes,Religion; Politics; Ancient Secrets,Suspenseful; Thought-provoking,Secret Society,Indian Historical Thriller,No,No,Secondary,Indian Historical Thrillers,Thriller Recommendation,Intermediate,Chanakya's Chant; The Krishna Key,"A gripping conspiracy thriller blending religion, politics and forgotten history.",Ravi Shankar Etteth crafts a fast-paced mystery rooted in India's ancient past.,What if history hid the greatest conspiracy of all?,Indian Historical Thrillers,August,,,,,Yes,Bestseller,No,Moderate,High,,
"The Mahabharata: A Modern Rendering, Vol. 1",,Ramesh Menon,Male,India,English,,2003,720,,,Fiction,Mythological Fiction,Epic Literature,Mahabharata Retelling,Adult,Yes,The Mahabharata: A Modern Rendering,1,No,Dharma; Destiny; Family,Epic; Philosophical,Epic Retelling,Mahabharata,No,No,Secondary,Mahabharata Retellings,Mythology Recommendation,Intermediate,Jaya; The Palace of Illusions,An accessible yet faithful modern retelling of India's greatest epic.,Ramesh Menon brings the Mahabharata alive with rich storytelling and literary elegance.,The perfect place to begin your Mahabharata journey.,Best Mahabharata Books for Beginners,August,,,,,Yes,Critically Acclaimed,No,Moderate,High,,
The Hidden Hindu,,Akshat Gupta,Male,India,English,,2021,256,,,Fiction,Mythological Thriller,Fantasy,Adventure,Adult,Yes,The Hidden Hindu,1,No,Immortality; Ancient Secrets; Sanatan Dharma,Fast-paced; Cinematic,Chosen One,Indian Mythology Thriller,No,No,Secondary,Indian Mythological Thrillers,Mythology Recommendation,Beginner,The Krishna Key; Keepers of the Kalachakra,"Mythology, immortality and mystery combine in one addictive page-turner.",Akshat Gupta launches a bestselling trilogy exploring the secrets of Sanatan Dharma.,What if immortals still walk among us?,Modern Mythology Thrillers,July,,,,,Yes,Bestseller,Series Announced,Extremely High,Extremely High,,
The Hidden Hindu 2,,Akshat Gupta,Male,India,English,,2022,272,,,Fiction,Mythological Thriller,Fantasy,Adventure,Adult,Yes,The Hidden Hindu,2,No,Immortality; Mystery; Mythology,Action-packed; Suspenseful,Secret Identity,Indian Fantasy,No,No,Secondary,The Hidden Hindu Series,Series Recommendation,Beginner,The Hidden Hindu; The Hidden Hindu 3,The mystery deepens with higher stakes and shocking revelations.,The second installment expands the mythology and introduces even bigger twists.,Every answer leads to another mystery.,Mythology Series Worth Binge Reading,July,,,,,Yes,Bestseller,Series Announced,Extremely High,Extremely High,,
The Hidden Hindu 3,,Akshat Gupta,Male,India,English,,2023,288,,,Fiction,Mythological Thriller,Fantasy,Adventure,Adult,Yes,The Hidden Hindu,3,No,Ancient Wisdom; Destiny; Secrets,Fast-paced; Epic,Myth Meets Modern,Mythology Series,No,No,Secondary,The Hidden Hindu Series,Series Recommendation,Beginner,The Hidden Hindu 2; Son of Bhrigu,"A thrilling conclusion packed with mythology, action and ancient secrets.",Akshat Gupta wraps up the trilogy with epic revelations and fast-paced storytelling.,The ending every mythology fan was waiting for.,Completed Mythology Trilogies,July,,,,,Yes,Bestseller,Series Announced,Extremely High,Extremely High,,
The Half Empress,,Tripti Pandey,Female,India,English,,2024,352,,,Fiction,Historical Fiction,Women's Fiction,Mughal Fiction,Adult,No,,,Yes,Power; Identity; Womanhood,Emotional; Atmospheric,Strong Female Lead,Indian Historical Fiction,Yes,Yes,Primary,Women in History,Historical Fiction Recommendation,Beginner,The Palace of Illusions; The Women of Troy,"A compelling historical novel about power, identity and a woman's place in history.",Tripti Pandey tells the story of a remarkable woman navigating the complexities of royal life.,History remembers kings. This book remembers a queen.,Women-Centric Historical Fiction,March,,,,,Yes,Popular Release,No,Moderate,High,,
The Sun Is Also a Star,,Nicola Yoon,Female,United States,English,,2016,384,,,Fiction,Young Adult Romance,Contemporary Fiction,Coming-of-Age,Young Adult,No,,,Yes,Love; Fate; Family,Emotional; Hopeful,Instalove,YA Romance,Yes,Yes,Primary,Young Adult Romance,Romance Recommendation,Beginner,Eleanor & Park; Every Day,"A beautiful YA romance exploring destiny, love and second chances.",Nicola Yoon's heartfelt novel follows two strangers whose lives change in a single day.,Can one day change your entire life?,Young Adult Romance Books,February,,,,,Yes,International Bestseller,Film Adaptation,High,High,,
The Protected Rakshasa KAAL,Book 2 of KAVAACH Trilogy,Pranay Bhalerao,Male,India,English,,2024,360,,,Fiction,Mythological Fantasy,Adventure,Epic Fantasy,Adult,Yes,KAVAACH Trilogy,2,No,Rakshasa; Ancient Powers; Destiny,Fast-paced; Epic,Mythological Quest,Indian Fantasy,No,No,Secondary,KAVAACH Trilogy,Fantasy Recommendation,Beginner,The Wielder of the Trishul; Samsara,"The KAVAACH saga continues with more mythology, action and supernatural battles.",Pranay Bhalerao expands his fantasy universe with higher stakes and darker enemies.,Ancient guardians return stronger than ever.,Indian Fantasy Series,July,,,,,Yes,Popular Release,No,Moderate,Moderate,,
The Mists of Brahma,The Pataala Prophecy #2,Christopher C. Doyle,Male,India,English,,2023,400,,,Fiction,Mythological Thriller,Adventure,Archaeological Thriller,Adult,Yes,The Pataala Prophecy,2,No,Brahma; Ancient Secrets; Mystery,Suspenseful; Action-packed,Treasure Hunt,Indian Mythology Thriller,No,No,Secondary,The Pataala Prophecy,Mythology Recommendation,Intermediate,Son of Bhrigu; The Mahabharata Secret,Another exhilarating archaeological thriller rooted in Indian mythology.,"Christopher C. Doyle combines history, adventure and suspense in a globe-spanning mystery.",Every myth hides another secret.,Mythology Adventure Series,August,,,,,Yes,Popular Release,No,Moderate,High,,
Son of Bhrigu,The Pataala Prophecy #1,Christopher C. Doyle,Male,India,English,,2022,384,,,Fiction,Mythological Thriller,Adventure,Archaeological Thriller,Adult,Yes,The Pataala Prophecy,1,No,Sages; Ancient India; Mythology,Fast-paced; Suspenseful,Hidden History,Mythological Adventure,No,No,Secondary,The Pataala Prophecy,Mythology Recommendation,Beginner,The Hidden Hindu; The Krishna Key,An exciting adventure where mythology and archaeology collide.,Christopher C. Doyle launches a thrilling new mythology series inspired by ancient India.,The prophecy begins here.,New Indian Mythology Series,August,,,,,Yes,Popular Release,No,Moderate,High,,
Life's Amazing Secrets,How to Find Balance and Purpose in Your Life,Gaur Gopal Das,Male,India,English,,2018,232,,,Non-fiction,Self-help,Spirituality,Personal Development,Adult,No,,,Yes,Happiness; Balance; Purpose,Inspiring; Reflective,Life Lessons,Self-help,No,No,Secondary,Self-help,Personal Growth Recommendation,Beginner,Ikigai; The Monk Who Sold His Ferrari,"A practical guide to finding happiness, balance and purpose in everyday life.",Gaur Gopal Das combines spiritual wisdom with relatable life lessons.,A book that feels like a conversation with a wise friend.,Self-help Books That Actually Help,January,,,,,Yes,National Bestseller,No,High,High,,
The Legend of Bahirji-Naik,Siege of Panhala (Book II),Shreyas Bhave,Male,India,English,,2022,360,,,Fiction,Historical Fiction,Military Fiction,Maratha History,Adult,Yes,The Legend of Bahirji-Naik,2,No,Shivaji; Espionage; War,Action-packed; Historical,Warrior Hero,Maratha History,No,No,Secondary,Maratha Historical Fiction,Historical Fiction Recommendation,Intermediate,Shivaji-related historical fiction; Rebellion,A thrilling tale of espionage and warfare during the Maratha empire.,Shreyas Bhave brings Bahirji Naik's legendary exploits to life.,India's greatest spy deserves more readers.,Maratha History Books,August,,,,,Yes,Popular Release,No,Moderate,Moderate,,
Samsara,Enter the Valley of the Gods,Saksham Garg,Male,India,English,,2022,480,,,Fiction,Fantasy,Mythological Fantasy,Epic Fantasy,Young Adult,Yes,Samsara,1,No,Gods; Destiny; Adventure,Epic; Fast-paced,Hero's Journey,Indian Fantasy,No,No,Secondary,Indian Fantasy,Fantasy Recommendation,Beginner,Sons of Darkness; The Poppy War,An ambitious fantasy inspired by Indian mythology and divine realms.,"Saksham Garg creates an expansive world filled with gods, prophecies and adventure.",Imagine Percy Jackson inspired by Indian mythology.,Indian Fantasy Recommendations,July,,,,,Yes,Bestseller,No,High,High,,
"Tomorrow, and Tomorrow, and Tomorrow",,Gabrielle Zevin,Female,United States,English,,2022,416,,,Fiction,Literary Fiction,Contemporary Fiction,Friendship Fiction,Adult,No,,,Yes,Friendship; Creativity; Love,Emotional; Reflective,Found Family,Literary Fiction,Yes,Yes,Primary,Literary Fiction,Literary Recommendation,Intermediate,Tomorrow's literary fiction; Normal People,"A moving novel about friendship, creativity and the complicated ways people love each other.",Gabrielle Zevin tells an unforgettable story spanning decades through the lens of video game creators.,One of the finest contemporary novels of recent years.,Books About Friendship,April,,,,,Yes,Award-winning Bestseller,No,High,Extremely High,,
The 4th Traitor,Unit 22 #4,Mainak Dhar,Male,India,English,,2020,352,,,Fiction,Military Thriller,Spy Thriller,Political Thriller,Adult,Yes,Unit 22,4,No,Espionage; National Security,Fast-paced; Tense,Special Forces,Indian Thriller,No,No,Secondary,Unit 22 Series,Thriller Recommendation,Intermediate,Bard of Blood; Before You Breathe,Another explosive military thriller packed with espionage and action.,Mainak Dhar continues his acclaimed Unit 22 series with high-stakes missions.,Trust becomes the deadliest weapon.,Indian Spy Thrillers,November,,,,,Yes,Bestseller,No,Moderate,Moderate,,
The Curse of Anuganga,,Harini Srinivasan,Female,India,English,,2024,336,,,Fiction,Mythological Fiction,Historical Fiction,Ancient India,Adult,No,,,Yes,Curse; Destiny; Indian Mythology,Atmospheric; Emotional,Ancient Prophecy,Mythology,Yes,Yes,Primary,Indian Mythological Fiction,Mythology Recommendation,Beginner,Yajnaseni; The Accursed God,A fresh mythology-inspired novel exploring destiny and forgotten legends.,Harini Srinivasan blends mythology with compelling storytelling.,Ancient curses never truly disappear.,New Mythology Books by Indian Authors,August,,,,,Yes,Popular Release,No,Moderate,High,,
Sivakami's Vow,Paranjyothi's Journey (Book 1),Kalki Krishnamurthy,Male,India,Tamil,,1944,450,,,Fiction,Historical Fiction,Classic Literature,Chola/Pallava History,Adult,Yes,Sivakamiyin Sabadham,1,No,Love; War; History,Epic; Literary,Historical Epic,Tamil Classic,No,Yes,Primary,Tamil Historical Classics,Historical Fiction Recommendation,Advanced,Ponniyin Selvan; The Women of Troy,A landmark historical novel set during the Pallava dynasty.,"Kalki Krishnamurthy's masterpiece combines history, romance and political intrigue.","Before Ponniyin Selvan, there was Sivakamiyin Sabadham.",Classic Tamil Historical Fiction,September,,,,,Yes,Classic Bestseller,Multiple Adaptation Discussions,Moderate,High,,
"Sivakamiyin Sabadham, Volume 2",The Siege of Kanchi,Kalki Krishnamurthy,Male,India,Tamil,,1945,430,,,Fiction,Historical Fiction,Classic Literature,Tamil Historical Fiction,Adult,Yes,Sivakamiyin Sabadham,2,No,Kingdoms; War; Strategy,Epic; Immersive,Historical Saga,Tamil Literature,No,Yes,Primary,Tamil Historical Classics,Historical Fiction Recommendation,Advanced,Sivakami's Vow; Ponniyin Selvan,"The saga continues with political intrigue, war and unforgettable characters.",The siege of Kanchi becomes one of the defining moments of this classic series.,History has never been this gripping.,Tamil Classics Worth Reading,September,,,,,Yes,Classic Bestseller,No,Low,Moderate,,
"Sivakamiyin Sabadham, Volume 4",Shattered Dream,Kalki Krishnamurthy,Male,India,Tamil,,1946,420,,,Fiction,Historical Fiction,Classic Literature,Tamil Historical Fiction,Adult,Yes,Sivakamiyin Sabadham,4,No,Sacrifice; Destiny; Empire,Emotional; Epic,Historical Drama,Tamil Classic,No,Yes,Primary,Tamil Historical Classics,Historical Fiction Recommendation,Advanced,Sivakami's Vow; Ponniyin Selvan,"A powerful conclusion filled with sacrifice, heartbreak and destiny.",Kalki brings the beloved historical saga to a memorable close.,Some endings stay with you forever.,Epic Historical Fiction,September,,,,,Yes,Classic Bestseller,No,Low,Moderate,,
Sivakami's Vow,The Bikshu's Love (Book 3),Kalki Krishnamurthy,Male,India,Tamil,,1945,420,,,Fiction,Historical Fiction,Classic Literature,Tamil Historical Fiction,Adult,Yes,Sivakamiyin Sabadham,3,No,Love; Loyalty; Conflict,Literary; Epic,Historical Romance,Tamil Historical Novel,No,Yes,Primary,Tamil Historical Classics,Historical Fiction Recommendation,Advanced,Sivakami's Vow; The Siege of Kanchi,"Love, loyalty and sacrifice shape the emotional core of the third volume.",One of the most beloved installments in Kalki's legendary historical saga.,"When love and duty collide, history is rewritten.",Classic Indian Historical Series,September,,,,,Yes,Classic Bestseller,No,Low,Moderate,,
None of This Is True,,Lisa Jewell,Female,United Kingdom,English,,2023,384,,,Fiction,Psychological Thriller,Mystery,Domestic Thriller,Adult,No,,,Yes,Secrets; Identity; Obsession,Suspenseful; Dark,Unreliable Narrator,Psychological Thriller,Yes,Yes,Primary,Psychological Thrillers,Thriller Recommendation,Beginner,Never Lie; The Silent Patient,A chilling psychological thriller where nothing is quite what it seems.,"Lisa Jewell delivers a suspenseful story filled with lies, obsession and shocking twists.",Trust no one. Not even the narrator.,Best Psychological Thrillers,October,,,,,Yes,Bestseller,No,High,High,,
Valmiki's Women,,Anand Neelakantan,Male,India,English,,2024,320,,,Non-fiction,Mythology,Hindu Scriptures,Ramayana Studies,Adult,No,,,Yes,Women of Ramayana; Feminine Perspectives,Reflective; Insightful,Untold Stories,Ramayana,No,Yes,Primary,Ramayana Studies,Mythology Recommendation,Intermediate,Sita's Sister; Ramayana Unravelled,A fascinating exploration of the overlooked women of the Ramayana.,Anand Neelakantan reexamines Valmiki's epic through its remarkable female characters.,The Ramayana has many women whose stories deserve to be heard.,Women of the Ramayana,August,,,,,Yes,Popular Release,No,Moderate,High,,
Ramayana Unravelled,Lesser Known Facets of Rishi Vālmiki's Epic,Ami Ganatra,Female,India,English,,2022,360,,,Non-fiction,Mythology,Hindu Scriptures,Ramayana Analysis,Adult,No,,,Yes,Ramayana; Dharma; Interpretation,Thought-provoking; Informative,Mythology Explained,Ramayana,Yes,No,Primary,Mythology Explained,Mythology Recommendation,Intermediate,Mahabharata Unravelled; Valmiki's Women,A thoughtful guide to the lesser-known dimensions of the Ramayana.,Ami Ganatra separates popular myths from the original epic with engaging analysis.,How much of the Ramayana do we actually know?,Ramayana Books for Beginners,August,,,,,Yes,Bestseller,No,Moderate,High,,
Mahabharata Unravelled II,The Dharma Discourses,Ami Ganatra,Female,India,English,,2024,320,,,Non-fiction,Mythology,Philosophy,Mahabharata Studies,Adult,Yes,Mahabharata Unravelled,2,No,Dharma; Philosophy; Mahabharata,Reflective; Scholarly,Epic Analysis,Mahabharata,Yes,No,Secondary,Mahabharata Studies,Mythology Recommendation,Advanced,Mahabharata Unravelled; Yuganta,A deeper philosophical exploration of the Mahabharata's timeless lessons.,"Ami Ganatra focuses on dharma, ethics and the wisdom hidden within the epic.",The Mahabharata is more philosophy than war.,Understanding Dharma Through Books,September,,,,,Yes,Bestseller,No,Moderate,High,,
Mahabharata Unravelled,Lesser-Known Facets of a Well-Known History,Ami Ganatra,Female,India,English,,2021,320,,,Non-fiction,Mythology,Hindu Scriptures,Mahabharata Analysis,Adult,Yes,Mahabharata Unravelled,1,No,Mahabharata; Dharma; History,Informative; Reflective,Mythology Explained,Mahabharata,Yes,No,Secondary,Mahabharata Studies,Mythology Recommendation,Intermediate,Jaya; Mahabharata: A Modern Rendering,A brilliant introduction to the lesser-known truths of the Mahabharata.,Ami Ganatra dispels common misconceptions while remaining faithful to the original text.,Think you know the Mahabharata? Think again.,Best Books on Mahabharata,August,,,,,Yes,Bestseller,No,Moderate,High,,
Below Zero,The STEMinist Novellas #3,Ali Hazelwood,Female,Italy/United States,English,,2022,144,,,Fiction,Contemporary Romance,Romantic Comedy,STEM Romance,Adult,Yes,STEMinist Novellas,3,No,Love; Science; Second Chances,Light-hearted; Romantic,Forced Proximity,STEM Romance,Yes,Yes,Primary,STEM Romance,Romance Recommendation,Beginner,"Love on the Brain; Love, Theoretically","A fun novella packed with science, romance and witty banter.","Ali Hazelwood's STEMinist novella offers a quick, satisfying romance.",Proof that even scientists fall in love.,Quick Romance Reads,February,,,,,Yes,Bestseller,No,High,High,,
"Love, Theoretically",,Ali Hazelwood,Female,Italy/United States,English,,2023,400,,,Fiction,Contemporary Romance,Romantic Comedy,STEM Romance,Adult,No,,,Yes,Love; Academia; Identity,Funny; Heartwarming,Fake Dating; Academia,Romance,Yes,Yes,Primary,STEM Romance,Romance Recommendation,Beginner,The Love Hypothesis; Love on the Brain,A charming romance filled with academic rivalry and irresistible chemistry.,"Ali Hazelwood combines science, humor and heartfelt romance.",STEM romance at its absolute best.,Best Ali Hazelwood Books,February,,,,,Yes,Bestseller,No,Extremely High,Extremely High,,
Check & Mate,,Ali Hazelwood,Female,Italy/United States,English,,2023,352,,,Fiction,Young Adult Romance,Contemporary Fiction,Sports Romance,Young Adult,No,,,Yes,Chess; Competition; Love,Sweet; Inspiring,Rivals to Lovers,YA Romance,Yes,Yes,Primary,Young Adult Romance,Romance Recommendation,Beginner,Better Than the Movies; Today Tonight Tomorrow,"Chess, competition and first love come together in this delightful YA romance.",Ali Hazelwood steps into YA with an engaging coming-of-age romance.,Who knew chess could be this romantic?,YA Romance Recommendations,February,,,,,Yes,Bestseller,No,High,High,,
